topic_id,subtopic_id,Name
1,1,Типы задач машинного обучения
1,2,Линейная регрессия
1,3,Логистическая регрессия
1,4,Регуляризация
1,5,Оценка и валидация модели
1,6,Сравнение методов машинного обучения
1,7,Градиентный спуск
1,8,Функции потерь
1,9,Градиентный бустинг
1,10,Методы оптимизации
1,11,Дерево решений
1,12,Случайный лес
1,13,Переобучение
1,14,Стекинг
1,15,Bias-Variance Decomposition
1,16,Отбор признаков
1,17,Сокращение размерности данных
1,18,Обработка категориальных переменных
1,19,Нормализация распределения
1,20,Стационарность рядов
1,21,Классификация
1,22,Кластеризация
1,23,Триплеты
1,24,Временные ряды
1,25,Метод векторизации
1,26,Теория оценок
1,27,Метрики оценки качества моделей
1,28,Управление дисбалансом классов
1,29,Поиск выбросов
1,30,TF-IDF
1,31,Recall
1,32,Confusion Matrix
1,33,Контейнеризация
1,34,Линтер
1,35,Scikit-Learn
1,36,Методы предобработки данных
1,37,Popularity Bias
1,38,SVM
1,39,ROC-AUC
1,40,PR Кривая
1,41,Тюнинг модели
1,42,История обработки данных
1,43,Метод максимального правдоподобия
1,44,Этапы построения модели ML
1,45,Прогнозирование
2,47,Перцептрон
2,48,Back Propagation
2,49,Методы регуляризации
2,50,Функция активации
2,51,Классификация нейросетей
2,52,Сравнение нейронных сетей
2,53,Архитектуры нейронных сетей
2,54,Полносвязные нейронные сети
2,55,Эмбеддинги
2,56,Трансформеры
2,57,Оптимизаторы
2,58,Генеративные модели
2,59,Обработка изображений
2,60,Сверточные нейронки
2,61,Автоэнкодеры
2,62,Слои
2,63,BERT
2,64,Attention
2,65,ReLU
2,66,Batch-Size
3,67,Статистические тесты
3,68,Статистические распределения
3,69,Описательная статистика
